Date,Open,High,Low,Close,Volume,Dividends,Stock Splits,Capital Gains
2022-03-07 00:00:00+01:00,118.31189727783203,118.31189727783203,118.31189727783203,118.31189727783203,0,0.0,0.0,0.0
2022-03-08 00:00:00+01:00,117.11909484863281,117.11909484863281,117.11909484863281,117.11909484863281,0,0.0,0.0,0.0
2022-03-09 00:00:00+01:00,122.58445739746094,122.58445739746094,122.58445739746094,122.58445739746094,0,0.0,0.0,0.0
2022-03-10 00:00:00+01:00,121.61653137207031,121.61653137207031,121.61653137207031,121.61653137207031,0,0.0,0.0,0.0
2022-03-11 00:00:00+01:00,123.25907135009766,123.25907135009766,123.25907135009766,123.25907135009766,0,0.0,0.0,0.0
2022-03-14 00:00:00+01:00,124.72563171386719,124.72563171386719,124.72563171386719,124.72563171386719,0,0.0,0.0,0.0
2022-03-15 00:00:00+01:00,124.0803451538086,124.0803451538086,124.0803451538086,124.0803451538086,0,0.0,0.0,0.0
2022-03-16 00:00:00+01:00,128.0693817138672,128.0693817138672,128.0693817138672,128.0693817138672,0,0.0,0.0,0.0
2022-03-17 00:00:00+01:00,129.11550903320312,129.11550903320312,129.11550903320312,129.11550903320312,0,0.0,0.0,0.0
2022-03-18 00:00:00+01:00,129.90745544433594,129.90745544433594,129.90745544433594,129.90745544433594,0,0.0,0.0,0.0
2022-03-21 00:00:00+01:00,130.40609741210938,130.40609741210938,130.40609741210938,130.40609741210938,0,0.0,0.0,0.0
2022-03-22 00:00:00+01:00,131.01226806640625,131.01226806640625,131.01226806640625,131.01226806640625,0,0.0,0.0,0.0
2022-03-23 00:00:00+01:00,130.0247802734375,130.0247802734375,130.0247802734375,130.0247802734375,0,0.0,0.0,0.0
2022-03-24 00:00:00+01:00,129.79013061523438,129.79013061523438,129.79013061523438,129.79013061523438,0,0.0,0.0,0.0
2022-03-25 00:00:00+01:00,129.61415100097656,129.61415100097656,129.61415100097656,129.61415100097656,0,0.0,0.0,0.0
