Date,Total-Score,E-Score,S-Score,G-Score
2018-02-01,55.67,57.97,55.22,50.06
2018-03-01,55.67,57.97,55.22,50.06
2018-04-01,55.53,58.26,54.67,49.37
2018-05-01,55.53,58.26,54.67,49.37
2018-06-01,55.7,58.28,54.48,50.19
2018-07-01,55.7,58.28,54.48,50.19
2018-08-01,56.13,58.39,55.03,50.05
2018-09-01,55.5,57.6,54.9,49.0
2018-10-01,55.11,56.83,54.79,48.87
2018-11-01,55.11,56.83,54.79,48.87
2018-12-01,54.99,56.35,54.85,49.02
2019-01-01,54.52,56.24,54.7,49.25
2019-02-01,,,,
2019-03-01,,,,
2019-04-01,,,,
2019-05-01,,,,
2019-06-01,,,,
2019-07-01,,,,
2019-08-01,,,,
2019-09-01,,,,
2019-10-01,,,,
2019-11-01,,,,
2019-12-01,,,,
2020-01-01,,,,
2020-02-01,,,,
2020-03-01,,,,
2020-04-01,,,,
2020-05-01,,,,
2020-06-01,,,,
2020-07-01,21.18,3.43,9.85,7.54
2020-08-01,20.92,3.33,9.6,7.51
2020-09-01,20.87,3.36,9.68,7.45
2020-10-01,21.18,3.52,9.84,7.45
2020-11-01,20.72,3.39,9.59,7.37
2020-12-01,20.69,3.39,9.56,7.36
