Date,Total-Score,E-Score,S-Score,G-Score
2018-02-01,49.37,57.97,55.22,50.06
2018-03-01,49.37,57.97,55.22,50.06
2018-04-01,48.78,58.26,54.67,49.37
2018-05-01,48.78,58.26,54.67,49.37
2018-06-01,48.88,58.28,54.48,50.19
2018-07-01,48.88,58.28,54.48,50.19
2018-08-01,49.44,58.39,55.03,50.05
2018-09-01,48.39,57.6,54.9,49.0
2018-10-01,48.13,56.83,54.79,48.87
2018-11-01,48.13,56.83,54.79,48.87
2018-12-01,48.3,56.35,54.85,49.02
2019-01-01,47.83,56.24,54.7,49.25
2019-02-01,,,,
2019-03-01,,,,
2019-04-01,,,,
2019-05-01,,,,
2019-06-01,,,,
2019-07-01,,,,
2019-08-01,,,,
2019-09-01,,,,
2019-10-01,20.52,3.75,9.2,7.22
2019-11-01,20.73,3.63,9.33,7.41
2019-12-01,20.7,3.56,9.38,7.42
2020-01-01,20.84,3.55,9.51,7.45
2020-02-01,20.56,3.42,9.33,7.38
2020-03-01,21.55,3.63,9.87,7.65
2020-04-01,21.57,3.44,9.9,7.59
2020-05-01,21.34,3.23,9.98,7.66
2020-06-01,21.06,3.27,9.85,7.56
2020-07-01,21.18,3.43,9.85,7.54
2020-08-01,20.92,3.33,9.6,7.51
2020-09-01,20.87,3.36,9.68,7.45
2020-10-01,21.18,3.52,9.84,7.45
2020-11-01,20.72,3.39,9.59,7.37
2020-12-01,20.69,3.39,9.56,7.36
