Date,Total-Score,E-Score,S-Score,G-Score
2018-02-01,52.52,53.81,55.5,48.91
2018-03-01,52.52,53.81,55.5,48.91
2018-04-01,52.8,54.21,56.16,48.78
2018-05-01,52.8,54.21,56.16,48.78
2018-06-01,52.92,54.13,56.24,48.31
2018-07-01,52.92,54.13,56.24,48.31
2018-08-01,52.2,53.37,55.14,47.94
2018-09-01,52.65,53.88,55.52,48.06
2018-10-01,53.01,54.22,55.7,48.23
2018-11-01,53.01,54.22,55.7,48.23
2018-12-01,53.01,54.18,56.04,48.48
2019-01-01,53.29,54.44,56.32,48.59
2019-02-01,,,,
2019-03-01,,,,
2019-04-01,,,,
2019-05-01,,,,
2019-06-01,,,,
2019-07-01,,,,
2019-08-01,,,,
2019-09-01,,,,
2019-10-01,,,,
2019-11-01,,,,
2019-12-01,,,,
2020-01-01,,,,
2020-02-01,,,,
2020-03-01,,,,
2020-04-01,,,,
2020-05-01,,,,
2020-06-01,,,,
2020-07-01,20.65,3.26,8.02,7.09
2020-08-01,20.13,3.16,7.55,6.97
2020-09-01,20.25,3.29,7.63,6.93
2020-10-01,19.97,3.13,7.64,6.92
2020-11-01,19.93,3.18,7.68,6.84
2020-12-01,19.9,3.16,7.68,6.83
