Date,Total-Score,E-Score,S-Score,G-Score
2019-10-01,23.36,4.37,9.56,8.74
2019-11-01,24.16,4.78,10.1,8.55
2019-12-01,23.91,4.72,9.81,8.45
2020-01-01,23.9,4.66,9.79,8.47
2020-02-01,23.92,4.73,9.65,8.36
2020-03-01,23.89,4.7,9.69,8.39
2020-04-01,23.83,4.62,9.81,8.39
2020-05-01,23.66,4.46,9.81,8.29
2020-06-01,23.44,4.39,9.91,8.24
2020-07-01,22.25,4.21,9.7,7.53
2020-08-01,22.12,4.02,9.34,7.31
2020-09-01,21.8,3.91,9.19,7.21
2020-10-01,21.76,3.88,9.12,7.2
2020-11-01,21.78,3.87,9.06,7.09
2020-12-01,21.54,3.74,8.91,7.11
