Date,Total-Score,E-Score,S-Score,G-Score
2018-02-01,43.52,45.42,45.35,41.79
2018-03-01,43.52,45.42,45.35,41.79
2018-04-01,43.28,45.37,44.59,41.91
2018-05-01,43.28,45.37,44.59,41.91
2018-06-01,43.22,45.46,44.48,41.89
2018-07-01,43.22,45.46,44.48,41.89
2018-08-01,43.42,45.72,44.86,41.58
2018-09-01,43.97,46.31,45.71,41.52
2018-10-01,44.08,46.67,46.1,41.54
2018-11-01,44.08,46.67,46.1,41.54
2018-12-01,44.29,47.03,46.07,41.64
2019-01-01,44.28,47.14,46.74,41.62
2019-02-01,,,,
2019-03-01,,,,
2019-04-01,,,,
2019-05-01,,,,
2019-06-01,,,,
2019-07-01,,,,
2019-08-01,,,,
2019-09-01,,,,
2019-10-01,,,,
2019-11-01,,,,
2019-12-01,,,,
2020-01-01,,,,
2020-02-01,,,,
2020-03-01,,,,
2020-04-01,,,,
2020-05-01,,,,
2020-06-01,,,,
2020-07-01,27.44,5.36,11.7,9.74
2020-08-01,27.25,5.29,11.74,9.66
2020-09-01,27.1,5.38,11.82,9.73
2020-10-01,26.87,5.22,11.87,9.69
2020-11-01,27.32,5.61,11.88,9.75
2020-12-01,27.66,5.85,11.87,9.67
