Date,Total-Score,E-Score,S-Score,G-Score
2018-02-01,57.69,59.22,57.57,57.41
2018-03-01,57.69,59.22,57.57,57.41
2018-04-01,57.6,59.44,58.09,56.98
2018-05-01,57.6,59.44,58.09,56.98
2018-06-01,57.15,59.39,57.28,56.07
2018-07-01,57.15,59.39,57.28,56.07
2018-08-01,57.07,59.23,57.04,56.13
2018-09-01,57.56,59.25,57.07,56.14
2018-10-01,57.54,59.14,56.87,56.3
2018-11-01,57.54,59.14,56.87,56.3
2018-12-01,57.16,58.54,56.53,56.76
2019-01-01,56.91,58.42,56.26,56.77
2019-02-01,,,,
2019-03-01,,,,
2019-04-01,,,,
2019-05-01,,,,
2019-06-01,,,,
2019-07-01,,,,
2019-08-01,,,,
2019-09-01,,,,
2019-10-01,,,,
2019-11-01,,,,
2019-12-01,,,,
2020-01-01,,,,
2020-02-01,,,,
2020-03-01,,,,
2020-04-01,,,,
2020-05-01,,,,
2020-06-01,,,,
2020-07-01,26.51,1.66,12.71,8.17
2020-08-01,26.59,1.44,12.58,7.9
2020-09-01,26.34,1.47,12.87,8.14
2020-10-01,25.89,1.31,12.67,8.04
2020-11-01,25.77,1.3,12.6,8.01
2020-12-01,25.39,1.25,12.49,7.77
