Date,Total-Score,E-Score,S-Score,G-Score
2018-09-01,48.24,51.29,48.04,52.65
2018-10-01,47.08,50.69,47.23,51.46
2018-11-01,47.08,50.69,47.23,51.46
2018-12-01,47.59,50.83,48.32,50.97
2019-01-01,47.74,51.12,48.32,51.27
2019-02-01,,,,
2019-03-01,,,,
2019-04-01,,,,
2019-05-01,,,,
2019-06-01,,,,
2019-07-01,,,,
2019-08-01,,,,
2019-09-01,,,,
2019-10-01,18.61,3.87,5.74,6.79
2019-11-01,18.0,4.02,5.25,6.09
2019-12-01,18.0,4.02,5.25,6.09
2020-01-01,17.37,4.02,4.92,5.74
2020-02-01,17.17,4.07,4.95,5.72
2020-03-01,17.37,4.12,5.21,5.97
2020-04-01,17.35,4.13,5.22,5.96
2020-05-01,17.27,4.1,5.18,5.94
2020-06-01,16.96,4.01,5.08,5.89
2020-07-01,16.86,3.99,5.04,5.81
2020-08-01,16.5,3.89,4.89,5.69
2020-09-01,16.43,3.89,4.92,5.68
2020-10-01,16.14,3.83,4.78,5.59
2020-11-01,15.8,3.75,4.65,5.5
2020-12-01,15.67,3.69,4.61,5.47
